tweet_id,name,tweet_year,tweet_month,tweet_day,mean_rating,dog_type,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,display_text_range,is_quote_status,retweet_count,favorite_count,favorited,lang
892420643555336193,Phineas,2017,August,Tuesday,1.3,None,Orange,0.0970486,False,Bagel,0.0858511,False,Banana,0.07611,False,85,False,8853,39467,False,en
892177421306343426,Tilly,2017,August,Tuesday,1.3,None,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True,138,False,6514,33819,False,en
891815181378084864,Archie,2017,July,Monday,1.2,None,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True,121,False,4328,25461,False,en
891689557279858688,Darla,2017,July,Sunday,1.3,None,Paper_Towel,0.1702779999999999,False,Labrador_Retriever,0.1680859999999999,True,Spatula,0.0408359,False,79,False,8964,42908,False,en
891327558926688256,Franklin,2017,July,Saturday,1.2,None,Basset,0.555712,True,English_Springer,0.2257699999999999,True,German_Short-Haired_Pointer,0.175219,True,138,False,9774,41048,False,en
891087950875897856,None,2017,July,Saturday,1.3,None,Chesapeake_Bay_Retriever,0.425595,True,Irish_Terrier,0.116317,True,Indian_Elephant,0.0769021999999999,False,138,False,3261,20562,False,en
890971913173991426,Jax,2017,July,Friday,1.3,None,Appenzeller,0.341703,True,Border_Collie,0.199287,True,Ice_Lolly,0.193548,False,140,False,2158,12041,False,en
890729181411237888,None,2017,July,Friday,1.3,None,Pomeranian,0.566142,True,Eskimo_Dog,0.1784059999999999,True,Pembroke,0.0765069,True,118,False,16716,56848,False,en
890609185150312448,Zoey,2017,July,Thursday,1.3,None,Irish_Terrier,0.4875739999999999,True,Irish_Setter,0.193054,True,Chesapeake_Bay_Retriever,0.118184,True,122,False,4429,28226,False,en
890240255349198849,Cassie,2017,July,Wednesday,1.4,doggo,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,133,False,7711,32467,False,en
890006608113172480,Koda,2017,July,Wednesday,1.3,None,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True,130,False,7624,31166,False,en
889880896479866881,Bruno,2017,July,Tuesday,1.3,None,French_Bulldog,0.377417,True,Labrador_Retriever,0.151317,True,Muzzle,0.0829811,False,107,False,5156,28268,False,en
889665388333682689,None,2017,July,Tuesday,1.3,puppo,Pembroke,0.966327,True,Cardigan,0.0273557,True,Basenji,0.00463323,True,106,False,8538,38818,False,en
889638837579907072,Ted,2017,July,Tuesday,1.2,None,French_Bulldog,0.99165,True,Boxer,0.00212864,True,Staffordshire_Bullterrier,0.00149818,True,91,False,4735,27672,False,en
889531135344209921,Stuart,2017,July,Monday,1.3,puppo,Golden_Retriever,0.953442,True,Labrador_Retriever,0.0138341,True,Redbone,0.00795775,True,118,False,2321,15359,False,en
